STN_NUM,NAME,ADDRESS,COMMUNITY,NON_EMERGENCY_INFO,MODIFIED_DT,Point,Postal Code,FSA,LAT,LONG
24,Station 24,2607 106 AV SW,Cedarbrae,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,,POINT (-114.1213079 50.957547),T2W 4H7,T2W,50.957547,-114.1213079
12,Station 12,123 44 ST SE,Forest Heights,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 08:59:09 AM +0000,POINT (-113.9706532 51.0517093),T2A 3E2,T2A,51.0517093,-113.9706532
19,Station 19,13807 PARKLAND BV SE,Parkland,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:03:40 AM +0000,POINT (-114.0386176 50.9293611),T2J 6X3,T2J,50.9293611,-114.0386176
35,Station 35,11280 VALLEY RIDGE BV NW,Valley Ridge,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:32:39 AM +0000,POINT (-114.2481955 51.0911161),T3B 5Y6,T3B,51.0911161,-114.2481955
4,Station 04,1991 18 AV NE,Vista Heights,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,05/27/2020 08:17:43 AM +0000,POINT (-114.0140522 51.0686531),T2E 8E1,T2E,51.0686531,-114.0140522
38,Station 38,3 SKYVIEW SPRINGS CV NE,Skyview Ranch,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:34:49 AM +0000,POINT (-113.9663007 51.1638891),T3N 0B1,T3N,51.1638891,-113.9663007
23,Station 23,2727 26 AV SE,Southview,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:08:29 AM +0000,POINT (-113.9937051 51.0302399),T2B 0R3,T2B,51.0302399,-113.9937051
26,Station 26,450 MIDPARK WY SE,Midnapore,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:09:51 AM +0000,POINT (-114.0584517 50.9064246),T2X 3S4,T2X,50.9064246,-114.0584517
41,Station 41,3790 SETON DR SE,Seton,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:42:32 AM +0000,POINT (-113.9547353 50.877267),T3M 0M2,T3M,50.877267,-113.9547353
33,Station 33,3800 69 ST SW,Signal Hill,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:27:53 AM +0000,POINT (-114.1880159 51.0206198),T3H 3E4,T3H,51.0206198,-114.1880159
14,Station 14,9840 HORTON RD SW,Haysboro,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 08:59:35 AM +0000,POINT (-114.0743863 50.9661039),T2V 5H5,T2V,50.9661039,-114.0743863
39,Station 39,4199 114 AV SE,Douglas Glen,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:38:47 AM +0000,POINT (-113.9755277 50.949602600000006),T2Z 0H3,T2Z,50.949602600000000,-113.9755277
6,Station 06,360 8 ST SW,Eau Claire,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,05/27/2020 08:17:41 AM +0000,POINT (-114.080739 51.0501808),T2P 0Y1,T2P,51.0501808,-114.080739
37,Station 37,2511 EVERSYDE AV SW,Evergreen,http://www.calgary.ca/CSPS/Fire/Pages/Fire-stations/Calgary-Fire-Stations.aspx,09/10/2019 09:34:08 AM +0000,POINT (-114.1185018 50.9077624),T2Y 5G8,T2Y,50.9077624,-114.1185018
